gene_id,DO229117,DO229119,DO229113,DO229112,DO229114,DO229065,DO229064,DO229067,DO229066,DO229069,DO229068,DO229070,DO229072,DO229071,DO229074,DO229073,DO229076,DO229075,DO229078,DO229077,DO229079,DO229081,DO229080,DO229083,DO229082
RFX3,6023,3334,2708,6482,6874,6713,5793,7284,4266,18903,12754,2285,3658,4374,22394,6858,6313,15304,4191,6946,6408,5288,4702,11893,6016
RFX4,6,8,2540,18,2,38,13,2,24,38,8,22,10,2,102,4,2,24,2,19,0,90,3,19,8
RFX5,9854,5107,9966,13712,9911,8967,10172,11641,9964,6607,6917,9898,11037,8834,8365,13331,9933,8860,8120,8916,6602,6359,6021,9471,8828
RFX6,153,377,25,1905,1298,107,256,173,268,28,458,1588,349,309,9,6,89,604,134,153,21,231,62,451,165
RFX7,3851,3485,3474,5731,5254,5540,4913,5669,4299,3519,5364,7216,4979,4235,5742,5787,4263,3295,2429,5165,3996,4663,2710,5719,6363
RFX8,75,38,66,43,42,44,18,24,7,36,7,11,59,29,89,34,34,118,46,27,84,33,125,88,124
RHOXF1,189,38,60,80,1,10,30,5,36,7,1,9,25,47,50,0,17,73,0,59,86,34,3,116,1
RHOXF2B,3,1,3,3,9,7,0,0,1,3,0,23,3,2,3,2,7,9,2,11,0,0,0,10,5
RLF,4256,6869,4664,9131,8378,6025,6829,6612,9060,3978,8213,8068,6603,5230,8244,7947,8950,5846,5931,7302,10316,4628,6196,6275,5848
RORA,3506,3449,4362,3594,10620,4501,5526,5964,3814,1960,4882,2478,5488,3321,5576,5703,7168,5182,2399,5034,4281,3991,3439,6302,7866
RORB,1610,928,2930,353,3144,3014,12491,2898,291,116,359,3830,5616,2710,771,3704,1681,1527,13152,27623,3323,12,1879,3596,4850
RORC,20806,28318,9434,16629,15513,14559,14245,22382,18292,19464,21164,61326,14366,12473,18266,15297,20699,14837,21351,25458,22891,1995,20777,20024,23885
RREB1,8134,12285,10193,14478,12945,14449,12633,9947,14273,11890,14729,11439,16278,15264,14171,13916,11777,12627,16065,13906,12707,10978,16337,16497,19896
RUNX1,6655,448,8988,1759,21925,7731,14389,12006,4236,6109,7919,2596,15372,3893,3192,14405,35417,7257,21682,7083,5826,454,5848,20006,11335
RUNX2,2562,581,1705,782,4150,2459,2160,2248,1339,2114,3004,721,3081,1245,1879,3239,2692,1677,1249,1643,3111,1532,885,2800,2971
RUNX3,1382,37,849,259,1241,1687,1597,3159,678,1434,1500,292,2098,1196,365,2774,3602,954,1263,841,937,323,762,1536,660
RXRB,17029,11917,14165,17529,14895,10341,11590,12025,12249,10620,13121,14699,14325,11527,15260,13610,13313,12963,13482,14823,12818,15737,15027,14594,15471
RXRG,15,0,138,5,1,42,91,33,25,60,9,16,98,105,41,156,21,31,127,120,29,8,84,70,77
SAFB,31410,25887,26636,36121,24867,23351,23632,21863,27104,25633,28023,33613,23579,21634,30596,22410,31055,27536,24313,31875,26911,27659,23303,25346,33488
SAFB2,22681,18405,21556,27514,20646,18521,16906,14089,16684,16286,13069,19221,15225,14676,22765,17448,24723,25598,18463,27005,21923,19524,20876,21252,29704
SALL1,83,5,106,45,249,139,370,57,3,114,34,44,218,298,135,491,72,73,154,136,185,6,175,447,54
SALL2,3485,528,3815,1993,1132,4021,4144,2347,4072,2893,611,3062,3125,3066,6792,4107,1085,1791,3311,3414,1725,1507,1006,3552,2907
SALL3,466,9,118,13,290,48,1712,330,1,9,6375,77,1568,493,1493,423,1173,430,1042,1502,91,0,2664,235,1605
SALL4,305,494,989,517,2018,197,253,316,1167,76,61,278,666,441,1513,326,847,613,1321,781,1533,284,953,592,1670
SATB1,6791,1706,4365,1088,17125,12537,19287,6287,5978,11166,2945,3462,15982,10401,29577,23180,15638,13009,23009,20151,7838,3967,16379,9266,15464
SATB2,3909,1783,1825,3715,3314,3249,3341,2252,1872,2104,4692,991,3640,2230,7280,2328,2202,3250,940,3768,2618,2434,2302,3238,5382
SCMH1,21635,25059,19376,17278,21981,22173,17661,20788,25955,14090,21174,27354,16078,21333,17174,19195,22519,14867,18925,14037,27593,18530,17898,21671,16205
SCML4,529,7,224,28,425,290,139,427,107,103,97,17,234,128,39,146,313,226,72,142,283,32,162,303,130
SCRT2,0,0,1,0,12,3,0,0,0,5,0,4,0,0,0,1,0,9,1,0,0,0,0,2,0
SETBP1,4743,1857,8689,3064,9548,6603,10996,9211,3996,2636,11602,8011,8645,5040,4415,9919,5717,4233,3434,5403,4290,3063,3378,8369,10447
SETDB1,12690,8236,6261,14439,9894,6717,5759,5380,7137,6114,6907,12930,7508,6321,8986,6931,7973,7855,5900,8973,6991,6794,6301,7324,9151
SETDB2,3550,2278,3311,7477,4196,3887,3601,4938,2387,2465,2417,5357,3519,2503,6358,5575,3022,4057,2819,4585,4234,3110,4409,6834,5644
SGSM2,40383,15776,33837,44125,30170,16212,19241,27620,34549,17196,15508,24177,21303,20502,52853,35512,43660,40152,10453,37492,65829,36832,34145,44347,39792
SHOX2,116,46,169,29,18,12,54,27,34,216,75,83,112,209,33,27,8,62,58,66,5,37,36,13,29
SIM1,4,3,21,1,6,16,33,2,1,6,5,16,5,1,1,1,0,21,9,3,0,5,3,17,1
SIM2,27230,10125,17133,12230,8772,15744,16205,7302,57947,112566,33867,47854,16694,53218,29456,34883,27421,69100,19832,48327,23169,17700,57371,51721,14082
SIX1,7323,23324,5171,15643,11221,8929,10393,10489,20403,13739,7544,13399,10004,15594,7222,6803,8295,8487,10867,15039,3415,4876,9710,2719,10395
SIX2,191,22,683,153,270,225,736,425,111,507,101,2050,644,271,36,959,184,235,470,109,258,56,258,207,458
SIX3,4,2,5,12,3,6,0,0,3,2,2,3,1,3,1,0,1,1,17,1,1,6,10,5,1
SIX4,3356,3704,3178,6366,6003,3696,6250,7644,8411,5877,5013,6361,6238,5686,11491,5172,6208,5922,6617,8631,3094,4889,3868,7066,5376
SIX5,3303,4785,4659,5246,3533,5103,4091,3710,4420,3658,3812,3713,3700,5007,3384,3003,1961,2915,4953,3032,3239,4230,3574,4660,3401
SIX6,17,10,8,20,73,14,8,41,19,4,3,190,159,54,18,15,34,25,4,86,18,0,14,56,103
SKI,27351,13139,21995,14968,26357,21414,27791,23897,16576,15680,22720,22927,25776,18240,14123,23575,14884,38487,24643,13581,14884,14239,14920,21273,31929
SKIL,12553,6712,11373,5820,41736,13816,13119,14383,5937,11925,7298,7073,15283,10248,7008,63887,416361,7053,16578,12132,18164,5284,13629,11327,18491
SLC2A4RG,22755,32441,24191,29465,12689,14838,20841,15199,18712,35004,24936,32098,18944,31988,15952,17089,8649,16470,47113,20059,17745,18834,21274,10120,11470
SMAD1,2381,2076,1659,1569,2635,2779,3571,2987,2341,2000,3713,2090,4619,2050,3119,3863,3607,2157,2690,2157,1859,1786,1581,2847,4094
SMAD3,8800,3366,11450,8067,12599,8761,13545,11384,5949,6269,7951,6555,12762,8032,9351,15115,12916,5929,9631,9868,9779,7185,8879,10706,12965
SMAD4,17904,24506,21729,18891,21958,28221,19517,21481,24454,28274,24310,22323,22615,18010,26523,26620,21525,23930,17402,21371,22868,24365,17011,27658,24906
SMAD5,13482,17029,12558,24865,24787,17479,17084,19606,10461,12205,18787,22246,21495,11745,18549,20557,22954,15908,15214,19990,7188,15618,8445,14993,17276
SMAD9,3687,2984,3898,1628,5687,2396,11285,12925,1543,8687,2964,8143,7843,9738,8896,8607,3198,5809,5122,8308,6242,2085,7263,11929,6959
SMYD3,3917,4368,2945,37129,2958,5281,3472,4340,4538,3365,6845,9117,2782,4560,2868,3579,3660,3289,3589,4780,3769,2929,1111,3334,3030
SNAI1,483,76,449,174,879,276,691,477,380,1922,342,109,1221,480,190,990,1122,506,1603,286,474,219,451,422,405
SNAI2,1855,248,1449,496,1524,579,2729,1431,241,1223,606,313,2415,1201,664,2077,1378,855,1195,1333,1207,144,602,1711,1422
SNAI3,443,62,417,182,245,205,194,262,152,679,147,61,281,247,159,382,210,168,127,130,279,100,238,186,128
SNAPC2,4299,5179,8584,5510,4995,8315,9284,5811,5031,13739,11532,7685,5864,8799,4502,6271,3458,4984,8760,3732,5378,6353,5812,5180,3741
SNAPC4,10700,5141,6236,14651,5962,4546,3431,4763,10512,4805,5417,11398,4812,4633,8536,4593,5193,6866,4385,5851,7101,8376,7342,7186,6204
SNAPC5,3466,2109,4229,3235,2886,2917,4493,3030,4748,3421,3559,3488,3726,3065,2479,4575,4198,2997,3507,3811,2875,2503,3291,2782,2671
SOHLH1,3,1,39,0,1,3,4,1,2,8,5,1893,0,1,0,1,0,3,13,2,0,0,4,5,2
SOX1,0,0,1,0,0,7,4,0,0,1,1,150,2,2,0,2,1,2,1,12,0,0,0,1,2
SOX10,147,0,909,82,88,96,578,173,5,589,53,8,564,876,132,1235,68,148,622,124,421,122,774,832,1487
SOX11,7,11,8,26,810,21,13,4,8,247,26,62,3,14,5,9,10,40,67,14,22,0,2,8,9
SOX12,9141,16714,11909,18877,4310,5363,7828,6891,13995,12057,2854,19265,8187,8997,7688,6815,3693,5820,10981,5574,4691,3459,7597,5387,11864
SOX13,10558,7256,8923,11107,13399,8542,9931,8477,9260,10083,5217,3930,8794,8880,6979,10072,4631,7251,6859,9107,8281,12622,6686,10280,13707
SOX14,587,0,863,11,96,427,900,2,1752,3229,196,714,414,6,24,1147,2,640,1616,78,2417,79,15,228,49
SOX15,757,87,683,207,548,254,974,498,165,104,119,167,768,406,333,859,332,307,258,497,511,165,342,469,588
SOX17,652,236,1125,232,607,507,2736,936,213,1817,412,106,1859,803,203,646,422,364,1342,156,631,89,788,1441,1160
SOX18,1850,868,2880,820,1244,1578,1548,2646,466,5809,2137,920,4379,3709,1602,2074,625,1484,2618,685,1474,335,1769,1469,2637
SOX2,542,0,66,33,310,120,1727,172,6,902,1314,112,1117,252,121,766,456,124,179,4851,158,5,123,365,415
SOX21,91,0,10,90,121,72,152,46,6,4863,30,227,162,88,41,431,49,11,28,96,48,1,23,181,131
SOX3,0,0,4,1,0,7,230,2,0,0,0,10,5,13,1,1,0,0,1,1,0,0,0,1,12
SOX30,83,8,36,40,39,30,200,34,2,37,35,33,89,14,28,82,47,76,49,58,23,34,13,71,93
SOX4,10990,15950,12313,41990,61329,26005,36992,22852,37699,30000,55995,53109,18547,41654,19356,20404,22012,17997,52452,30307,7448,26054,9585,28132,19769
SOX5,354,41,566,168,940,351,1049,811,992,246,138,69,800,355,252,856,553,420,323,321,402,2,459,888,1136
SOX7,414,132,336,203,966,302,1463,698,128,1549,476,740,1697,696,339,1253,1085,451,1711,820,371,67,561,520,1019
